name,value,date
许嵩,3851,2018-10-08
许嵩,3946,2018-10-09
许嵩,3973,2018-10-10
许嵩,3889,2018-10-11
许嵩,3959,2018-10-12
许嵩,4474,2018-10-13
许嵩,4530,2018-10-14
许嵩,4182,2018-10-15
许嵩,4415,2018-10-16
许嵩,4232,2018-10-17
许嵩,4500,2018-10-18
许嵩,4622,2018-10-19
许嵩,4798,2018-10-20
许嵩,4869,2018-10-21
许嵩,4260,2018-10-22
许嵩,4258,2018-10-23
许嵩,4430,2018-10-24
许嵩,4328,2018-10-25
许嵩,6749,2018-10-26
许嵩,5729,2018-10-27
许嵩,5045,2018-10-28
许嵩,4655,2018-10-29
许嵩,4618,2018-10-30
许嵩,4421,2018-10-31
许嵩,4091,2018-11-01
许嵩,4363,2018-11-02
许嵩,4761,2018-11-03
许嵩,4816,2018-11-04
许嵩,4273,2018-11-05
许嵩,4201,2018-11-06
许嵩,4163,2018-11-07
许嵩,4154,2018-11-08
许嵩,3865,2018-11-09
许嵩,4452,2018-11-10
许嵩,6269,2018-11-11
许嵩,5581,2018-11-12
许嵩,4700,2018-11-13
许嵩,4556,2018-11-14
许嵩,4411,2018-11-15
许嵩,4620,2018-11-16
许嵩,5382,2018-11-17
许嵩,5943,2018-11-18
许嵩,6122,2018-11-19
许嵩,5128,2018-11-20
许嵩,5684,2018-11-21
许嵩,8829,2018-11-22
许嵩,7697,2018-11-23
许嵩,7297,2018-11-24
许嵩,6909,2018-11-25
许嵩,6136,2018-11-26
许嵩,6453,2018-11-27
许嵩,6286,2018-11-28
许嵩,5599,2018-11-29
许嵩,6098,2018-11-30
许嵩,6482,2018-12-01
许嵩,6232,2018-12-02
许嵩,5111,2018-12-03
许嵩,5609,2018-12-04
许嵩,5127,2018-12-05
许嵩,4969,2018-12-06
许嵩,4833,2018-12-07
许嵩,5803,2018-12-08
许嵩,9795,2018-12-09
许嵩,7577,2018-12-10
许嵩,6044,2018-12-11
许嵩,5432,2018-12-12
许嵩,5560,2018-12-13
许嵩,5443,2018-12-14
许嵩,5757,2018-12-15
许嵩,5973,2018-12-16
许嵩,5022,2018-12-17
许嵩,5061,2018-12-18
许嵩,4836,2018-12-19
许嵩,5640,2018-12-20
